bank_name,rating,sentiment_score,count
Bank of Abyssinia,1,-0.1869097014925373,134
Bank of Abyssinia,2,0.08586666666666667,15
Bank of Abyssinia,3,0.15022272727272726,22
Bank of Abyssinia,4,0.3522130434782608,23
Bank of Abyssinia,5,0.32658106796116504,206
Commercial Bank of Ethiopia,1,-0.09338392857142856,56
Commercial Bank of Ethiopia,2,0.07687692307692308,13
Commercial Bank of Ethiopia,3,0.13448695652173911,23
Commercial Bank of Ethiopia,4,0.29626,40
Commercial Bank of Ethiopia,5,0.352839552238806,268
Dashen Bank,1,-0.13964657534246575,73
Dashen Bank,2,0.00758333333333334,18
Dashen Bank,3,0.23665454545454548,22
Dashen Bank,4,0.37540384615384614,26
Dashen Bank,5,0.4524486590038314,261
